Product,Quantity,Price,Date
Laptop,2,1200.00,2023-01-10
Keyboard,5,75.50,2023-01-10
Mouse,10,25.00,2023-01-10
Monitor,1,300.00,2023-01-11
Webcam,3,50.00,2023-01-11
Headphones,4,150.00,2023-01-11
Laptop,1,1150.00,2023-01-12
Keyboard,7,70.00,2023-01-12
Mouse,15,24.50,2023-01-12
Monitor,2,290.00,2023-01-13
Webcam,2,55.00,2023-01-13
Headphones,5,145.00,2023-01-13
Printer,1,200.00,2023-01-14
Scanner,1,100.00,2023-01-14
External Hard Drive,3,80.00,2023-01-14
USB Drive,20,10.00,2023-01-15
SD Card,10,15.00,2023-01-15
Router,1,70.00,2023-01-15
Switch,1,120.00,2023-01-16
Network Cable,30,5.00,2023-01-16
Laptop,3,1180.00,2023-01-16
Keyboard,6,72.00,2023-01-17
Mouse,12,26.00,2023-01-17
Monitor,1,310.00,2023-01-17
Webcam,4,48.00,2023-01-18
Headphones,3,155.00,2023-01-18
Printer,2,190.00,2023-01-18
Scanner,1,110.00,2023-01-19
External Hard Drive,2,85.00,2023-01-19
USB Drive,25,9.00,2023-01-19
SD Card,15,14.00,2023-01-20
Router,2,68.00,2023-01-20
Switch,1,125.00,2023-01-20
Network Cable,25,6.00,2023-01-21
Laptop,2,1220.00,2023-01-21
Keyboard,8,65.00,2023-01-21
Mouse,18,23.00,2023-01-22
Monitor,1,305.00,2023-01-22
Webcam,3,52.00,2023-01-22
Headphones,4,148.00,2023-01-23
Printer,1,210.00,2023-01-23
Scanner,1,95.00,2023-01-23
External Hard Drive,4,78.00,2023-01-24
USB Drive,30,8.50,2023-01-24
SD Card,20,13.00,2023-01-24
Router,1,75.00,2023-01-25
Switch,2,118.00,2023-01-25
Network Cable,35,4.50,2023-01-25
Laptop,1,1250.00,2023-01-26
Keyboard,10,60.00,2023-01-26
Mouse,20,22.00,2023-01-26
Monitor,2,295.00,2023-01-27
Webcam,2,58.00,2023-01-27
Headphones,5,140.00,2023-01-27
Printer,1,220.00,2023-01-28
Scanner,1,105.00,2023-01-28
External Hard Drive,3,88.00,2023-01-28
USB Drive,15,11.00,2023-01-29
SD Card,10,16.00,2023-01-29
Router,1,72.00,2023-01-29
Switch,1,130.00,2023-01-30
Network Cable,28,5.50,2023-01-30
Laptop,3,1190.00,2023-01-30
Keyboard,5,70.00,2023-01-31
Mouse,10,25.50,2023-01-31
Monitor,1,300.00,2023-01-31
Webcam,4,50.00,2023-02-01
Headphones,3,150.00,2023-02-01
Printer,1,205.00,2023-02-01
Scanner,1,100.00,2023-02-02
External Hard Drive,2,82.00,2023-02-02
USB Drive,20,10.50,2023-02-02
SD Card,12,15.50,2023-02-03
Router,2,65.00,2023-02-03
Switch,1,122.00,2023-02-03
Network Cable,32,4.80,2023-02-04
Laptop,2,1210.00,2023-02-04
Keyboard,7,68.00,2023-02-04
Mouse,15,24.00,2023-02-05
Monitor,1,315.00,2023-02-05
Webcam,3,53.00,2023-02-05
Headphones,4,152.00,2023-02-06
Printer,1,195.00,2023-02-06
Scanner,1,108.00,2023-02-06
External Hard Drive,4,79.00,2023-02-07
USB Drive,25,9.50,2023-02-07
SD Card,18,14.50,2023-02-07
Router,1,70.00,2023-02-08
Switch,2,115.00,2023-02-08
Network Cable,28,5.20,2023-02-08
Laptop,1,1240.00,2023-02-09
Keyboard,8,63.00,2023-02-09
Mouse,18,23.50,2023-02-09
Monitor,2,298.00,2023-02-10
Webcam,2,56.00,2023-02-10
Headphones,5,142.00,2023-02-10
Printer,1,215.00,2023-02-11
Scanner,1,98.00,2023-02-11
External Hard Drive,3,86.00,2023-02-11
USB Drive,15,12.00,2023-02-12
SD Card,10,17.00,2023-02-12
Router,1,74.00,2023-02-12
Switch,1,128.00,2023-02-13
Network Cable,30,5.80,2023-02-13
Laptop,3,1200.00,2023-02-13
Keyboard,6,67.00,2023-02-14
Mouse,12,26.50,2023-02-14
